,0
56476,NEG
97329,NEG
85409,NEG
83153,NEG
70465,NEG
14118,NEU
79969,NEG
63792,NEU
71927,NEU
82293,NEG
48263,NEG
80449,NEU
61995,NEG
32122,NEU
65470,NEG
86166,NEG
40450,NEU
61533,POS
31469,NEG
53663,NEG
40857,NEG
48969,NEG
23228,NEU
98137,NEG
85415,NEG
78473,NEG
30890,NEU
92935,NEG
58208,NEG
86626,NEG
86331,NEG
18702,NEG
87470,NEG
27045,NEG
14408,POS
78567,NEU
41887,POS
74595,NEU
26033,NEG
80107,NEU
76439,NEU
50971,NEG
84294,NEG
62487,POS
53037,NEG
81018,NEU
10605,NEG
54335,NEG
81644,NEU
62586,NEG
70286,NEG
85157,NEG
54395,POS
88302,NEU
14590,NEG
93419,NEG
93280,NEG
97831,NEG
82366,POS
13936,NEG
70315,NEG
17909,NEG
68350,NEG
83457,NEG
14877,NEG
63762,NEG
34479,NEG
25407,NEG
78739,NEG
19932,NEU
67666,POS
67747,POS
33095,NEG
50390,NEG
59395,NEG
88168,NEG
38444,NEG
74736,POS
77647,NEG
30426,NEG
16113,NEG
67932,POS
17278,POS
63382,NEG
38806,NEG
77228,NEU
18714,NEG
37482,POS
73203,NEG
66497,NEG
18028,NEU
95987,POS
65587,NEG
82711,NEU
36795,POS
93396,NEU
88956,NEG
63418,NEG
87311,NEG
21223,NEU
81763,NEG
56361,NEU
98780,POS
25469,NEG
74815,NEG
48283,NEG
20855,NEG
67895,NEG
99912,NEG
69106,POS
47490,NEG
53550,NEG
36268,NEG
97751,NEU
77519,NEG
79254,NEU
20232,NEG
85623,NEG
81520,NEG
73901,NEU
11692,NEU
47007,NEU
32990,NEG
25217,NEG
82335,NEG
64626,NEG
55335,NEG
59463,POS
43688,NEG
38710,POS
32365,POS
57061,NEU
87953,NEG
29587,NEG
69177,POS
80339,NEG
75757,NEG
59465,NEG
98025,POS
39729,NEG
11741,NEG
81331,NEG
25226,NEU
93137,NEG
46114,NEG
58189,POS
79603,NEU
93056,NEG
85757,NEU
92745,POS
32139,NEG
59690,NEG
69531,POS
47986,NEU
95846,NEU
23311,NEG
98406,NEG
65228,POS
80267,NEG
33600,POS
79122,NEG
10821,NEU
62976,POS
58576,NEG
40912,NEG
80922,NEG
70525,NEG
93516,NEG
21099,NEG
36863,NEU
88561,POS
33516,NEG
95745,NEG
69004,NEG
64362,NEU
57217,NEG
33099,NEU
28518,NEG
57434,NEU
38241,NEG
48529,NEG
38280,NEG
97893,POS
77529,NEG
42005,NEG
25305,NEU
70652,NEG
60071,NEU
68336,NEU
58551,POS
12602,NEU
68627,NEU
35933,NEG
66631,NEG
47401,NEU
70446,NEG
98470,NEG
26783,NEU
10826,NEU
60023,POS
49939,NEG
21597,NEU
21612,NEG
23818,NEG
35823,NEG
50664,NEG
11075,NEU
77455,NEG
46203,NEU
58382,NEG
17946,NEG
25800,NEG
35887,NEG
36639,NEG
68055,NEU
82801,NEU
35959,NEG
48319,NEG
14239,NEG
34178,POS
47703,NEG
57197,NEG
94756,POS
13389,NEU
90701,NEG
69315,POS
68054,POS
83474,NEU
20770,NEG
49300,NEG
84125,POS
78482,POS
45452,NEG
66373,NEG
77620,NEG
83576,NEG
91209,NEG
83336,POS
21734,NEG
17441,POS
94416,POS
28731,NEG
57625,NEG
40567,NEG
76395,NEG
41459,NEG
31178,NEU
34911,NEG
77103,POS
29044,NEG
17252,NEU
32074,NEG
73253,POS
84306,NEU
17811,NEG
39492,NEG
42444,POS
62710,POS
40412,NEG
26986,POS
90035,NEG
71929,NEU
39763,NEU
39852,POS
31157,NEU
35524,NEG
44447,NEU
66579,NEG
31691,POS
78863,NEG
29979,NEG
37069,NEG
42200,POS
47663,POS
58523,NEG
19339,NEU
66864,NEG
63440,NEU
81684,NEG
12303,POS
61225,POS
34454,NEG
41913,NEG
24298,NEG
19178,NEG
33027,NEG
43335,NEU
46678,POS
47804,NEG
24730,NEG
49896,NEG
52906,NEG
12295,NEG
68888,NEU
23506,POS
28865,NEU
36699,NEG
34852,NEU
77694,NEG
75368,NEU
29328,NEG
20235,NEG
51805,NEG
84425,NEU
42521,NEU
83715,NEG
33273,POS
22304,NEG
86903,NEU
90247,NEG
16085,POS
77575,NEG
58664,NEG
40211,POS
49350,NEG
89795,NEU
86958,POS
83680,POS
57754,POS
89600,NEG
67770,NEU
27161,NEG
90663,NEG
65915,NEG
71372,NEG
21076,NEG
82618,NEG
51364,POS
45895,NEG
73581,NEG
87725,NEG
41570,NEU
90997,NEG
63005,NEG
79357,NEU
83622,NEU
37072,NEG
16105,NEG
35478,NEU
96972,NEU
33642,POS
45922,NEG
89453,NEG
22946,NEG
89440,NEU
75611,NEG
88594,NEG
40317,NEG
55619,POS
53551,NEG
24797,NEG
50046,NEG
46987,NEG
97760,NEG
93497,NEG
76966,POS
80216,NEG
81704,NEG
39732,POS
57305,NEG
43432,NEU
42770,NEG
38438,NEU
87737,NEG
95718,POS
73093,NEU
74916,NEG
28821,NEU
80360,POS
50771,POS
48414,NEG
14411,NEG
28248,POS
59342,NEU
51258,NEU
60966,NEG
92369,POS
42087,NEU
45019,NEG
44213,NEU
84724,NEG
98631,NEG
80795,POS
16691,NEG
56181,NEG
54436,NEG
96139,NEG
93515,NEG
71104,NEG
11020,NEG
49326,NEG
94558,NEU
38533,NEG
15397,NEG
72883,POS
36375,NEG
58113,NEG
32558,NEG
94326,NEU
43832,NEG
31483,NEG
86646,NEG
85685,NEG
74229,POS
10363,NEG
44034,NEU
39683,POS
36677,NEG
57843,NEG
12018,POS
83590,NEU
67476,NEG
35652,POS
12223,NEG
29053,NEU
49452,NEG
56645,NEG
22429,POS
92803,NEG
30471,NEG
89521,POS
99444,NEG
93778,NEG
63063,NEG
65422,NEG
89002,NEG
66760,NEG
47345,POS
56484,NEU
71418,NEG
33127,NEG
20413,NEG
95940,NEG
65852,NEU
24354,NEG
74402,NEG
34179,NEG
64113,POS
89395,NEG
32684,POS
52786,NEU
75079,NEU
13104,NEU
95713,NEU
14647,POS
57111,NEG
24410,NEG
30198,NEU
92848,NEG
50573,NEG
44524,NEG
19061,NEG
86448,POS
69360,POS
55197,POS
51434,POS
14209,NEG
45523,NEG
87127,POS
92949,NEG
20729,NEG
89421,NEG
29695,POS
71736,NEU
36051,POS
14179,NEG
63061,NEU
51408,NEU
48736,POS
51768,POS
74078,NEG
65529,NEU
51118,NEG
12264,NEG
34675,NEG
12803,POS
59703,NEG
73118,NEG
92323,NEG
26447,NEG
66845,NEG
78996,NEU
61664,NEG
57245,POS
29880,NEG
85882,NEG
81239,NEG
99454,POS
66048,NEU
98294,NEG
77789,NEG
65560,POS
19380,NEG
98740,NEG
79813,POS
30337,NEG
65495,POS
41605,NEG
79120,NEG
92999,NEU
67391,NEG
12038,NEG
58241,NEG
21369,POS
91579,NEU
48534,NEG
22086,NEG
26472,NEU
56844,NEG
57050,NEG
86879,NEG
80462,NEG
55281,NEG
93035,NEG
66585,NEG
38143,NEG
31945,NEU
51513,NEG
76107,NEG
39965,POS
13100,NEG
91193,NEG
66398,NEG
89774,NEG
35786,NEG
40617,NEU
17573,NEG
10845,NEU
69671,NEG
13641,NEG
42447,NEG
92257,NEG
43196,NEU
28621,NEG
26317,NEG
70481,NEG
37877,NEU
33412,POS
61942,NEG
99091,NEU
84660,NEU
27631,NEG
51449,NEU
40674,NEG
57610,POS
24531,POS
82680,NEG
78494,NEG
21564,NEG
32067,NEG
21265,NEG
56419,NEU
35164,NEG
87824,NEG
32310,NEG
10698,NEG
23094,NEG
70213,POS
36136,NEG
61271,NEU
90618,NEG
58120,POS
15174,NEG
41958,NEG
40368,POS
75263,NEG
94345,NEG
90077,NEU
56898,NEG
77180,NEG
34565,NEG
76105,POS
93281,NEG
93028,NEG
20579,NEG
36709,POS
63408,NEG
99383,NEG
35359,NEG
32776,NEG
69948,NEU
17348,NEG
83724,NEG
70434,NEG
47123,NEG
58915,NEU
51128,NEG
63874,POS
40265,NEG
67744,NEU
77193,NEU
54759,NEG
90331,NEU
35544,NEU
19435,NEG
84894,NEG
45521,NEG
81754,NEU
87501,NEG
78424,NEU
71984,NEG
43321,NEG
99643,NEG
12272,NEG
63350,NEG
39443,NEG
68565,NEG
99745,NEG
56164,POS
74160,NEU
62679,POS
93734,NEG
23956,NEG
63696,POS
97846,NEG
74245,NEG
62559,NEU
30353,POS
31126,POS
92619,NEG
16278,NEG
16251,NEG
64189,NEG
10755,POS
68461,NEG
27318,NEU
78407,NEU
33186,POS
61788,NEU
71811,NEG
95262,POS
80439,NEG
83465,NEG
80298,NEU
70706,POS
73146,POS
13613,NEG
89043,NEU
13324,NEG
25808,NEG
74843,POS
80698,NEG
32103,NEG
34685,POS
82977,NEG
52798,NEG
89052,NEU
98649,POS
40000,NEG
96330,NEG
14809,NEG
21629,NEG
52832,NEG
59620,POS
32717,NEG
21286,NEG
78117,NEU
13486,NEU
90268,POS
39342,NEU
81788,NEU
38889,NEG
92319,NEG
59657,NEG
28193,NEU
83274,NEU
64355,NEU
42234,NEG
84391,NEG
36226,NEG
91015,POS
49622,POS
82485,NEU
54050,NEG
97098,NEG
34017,NEG
31233,NEG
83754,NEG
31196,NEG
59480,POS
23082,NEG
85220,NEG
15817,NEG
89408,POS
39819,NEU
60311,NEU
59397,NEG
48118,NEG
15406,POS
84077,NEG
79283,NEU
82016,NEG
84770,NEG
95295,NEU
48370,NEG
78792,NEG
14672,NEG
66991,NEG
93179,POS
48479,NEG
44822,NEG
14772,NEG
22130,NEG
80604,NEU
78914,NEG
40746,NEG
33232,NEG
58585,NEG
19746,POS
87017,NEG
60348,NEG
33670,NEG
69506,NEU
25199,NEU
46033,NEG
61968,POS
76470,NEG
25820,NEU
12633,POS
77845,NEG
40324,NEG
58462,POS
54691,NEG
23182,NEG
32987,POS
30224,NEG
81939,NEG
27255,NEG
62953,NEG
59895,NEG
13692,NEG
83076,NEU
32565,NEG
24384,NEG
23560,NEG
47280,NEU
71667,POS
55726,NEG
30033,NEG
33064,POS
34120,NEU
25813,POS
30770,NEU
49215,NEU
41561,NEU
19402,NEG
69899,POS
70810,NEU
79423,NEG
65970,NEG
45485,NEG
95617,NEG
39118,NEU
93402,NEG
44744,NEG
33776,NEU
37449,NEG
97658,NEU
43705,NEG
48474,NEG
35384,POS
11746,NEG
90460,NEU
77539,NEG
46544,NEU
56754,NEG
57446,NEG
30412,NEU
51967,POS
84656,NEG
91455,NEU
94913,NEG
31525,NEG
38725,NEU
55300,NEG
84653,NEU
40726,NEU
88710,POS
43651,POS
21689,POS
55014,NEG
41215,NEG
15417,NEG
49291,POS
28150,NEG
90308,NEU
65345,POS
97781,POS
40411,NEG
84372,NEU
51729,NEU
35958,NEG
56689,NEG
68935,NEG
75566,NEG
87425,NEU
79048,POS
37610,POS
99408,NEU
40471,NEG
62416,NEG
51613,NEG
60933,NEU
11519,NEG
92684,NEG
28679,NEG
14608,NEG
41642,NEU
48063,NEU
52687,NEG
91332,POS
60568,POS
27099,NEG
78450,NEU
77312,POS
73638,NEG
83162,POS
49383,NEG
26821,NEU
49307,NEG
94063,NEU
76917,NEG
89284,NEG
16734,POS
41416,NEG
38163,POS
95675,NEU
64411,POS
39166,NEG
12987,NEG
15145,NEU
13087,NEG
48421,NEG
63808,NEU
13245,POS
15069,NEG
35308,NEG
55842,NEG
15554,NEG
67296,POS
84775,NEU
30264,NEU
65148,POS
67852,NEG
43569,NEG
71717,NEG
28265,POS
88106,NEG
59633,NEG
76974,NEU
45078,NEG
44787,POS
93493,NEU
15222,NEG
94425,NEG
86725,NEG
13269,POS
26435,NEG
86557,NEG
21628,NEU
24282,NEG
34858,NEG
36206,NEG
45643,NEG
50805,NEG
10057,NEG
70336,NEG
11650,NEG
54987,NEG
30811,NEG
15277,NEG
59149,NEG
25207,NEU
71668,POS
15421,NEG
48576,POS
89450,NEG
41920,NEU
57122,NEG
38473,POS
32941,NEU
62929,NEG
46107,NEG
26606,NEG
34965,NEU
47818,NEG
92488,NEG
20490,NEG
10376,NEG
63865,NEG
21811,POS
87307,NEU
33060,NEU
47156,NEU
94776,NEU
54567,NEU
24069,NEG
79808,NEG
24558,POS
23902,NEG
20223,NEG
81416,NEG
81662,NEG
45604,POS
81948,NEG
25928,POS
95606,NEG
53591,NEG
69593,NEG
31487,POS
65922,NEG
48519,NEG
91693,NEG
24066,POS
88954,NEG
51153,NEG
20757,NEU
98090,NEG
45659,NEU
63595,POS
14665,POS
53994,NEG
44261,NEU
88986,NEU
65227,NEU
90715,NEG
67261,NEG
16518,POS
72091,NEU
34725,NEG
79500,NEU
41044,NEG
21146,NEG
48394,NEU
94737,NEG
16774,NEG
11317,NEU
45516,POS
37906,NEG
26206,POS
43540,NEG
11966,NEU
72423,POS
12802,POS
18626,NEG
65060,NEU
25418,NEG
63476,NEU
35824,NEU
38534,NEG
38235,POS
56475,NEG
61082,NEG
56256,NEU
55806,NEG
87342,NEG
82687,NEG
24454,NEG
40926,NEU
25338,NEG
50813,NEU
62940,POS
91027,NEG
80515,NEG
52898,NEU
66353,NEU
77105,NEG
10719,NEG
20663,POS
54273,POS
73752,NEU
63967,NEU
11812,NEU
44762,NEG
10036,NEG
48200,NEG
68042,POS
61939,NEG
81567,NEU
26527,NEU
29624,NEG
33267,POS
83844,NEG
25944,NEG
94562,NEG
33307,NEG
74862,NEG
64322,NEG
26187,POS
63870,POS
62973,NEG
15618,NEG
31240,NEU
37526,NEU
19466,NEG
78553,NEG
58691,NEG
97979,NEG
59208,NEG
83966,POS
74603,NEG
67387,NEU
97469,NEG
70752,NEG
96262,NEG
47741,NEG
29634,NEG
43459,NEU
88446,NEU
66578,NEG
72618,NEG
35726,NEG
62671,POS
91440,NEG
99651,NEG
61541,NEG
91200,NEU
30567,NEG
93619,NEU
10535,NEU
98976,NEG
44513,NEU
95780,NEU
86468,NEG
93601,NEU
81967,NEU
78008,POS
52853,NEG
25789,POS
90116,NEG
80399,NEU
78210,POS
49174,NEG
24905,NEU
90654,NEG
70789,NEU
45222,NEU
68958,POS
53434,POS
93348,POS
55766,NEG
62706,NEU
20432,NEG
87177,NEG
61214,NEU
39471,NEG
74845,NEG
73534,NEU
84281,NEG
66244,NEG
54306,NEG
50560,NEG
32416,NEG
92760,NEG
47525,NEU
44825,NEU
16673,NEG
50605,NEG
20845,NEG
81733,NEU
13331,NEG
32322,NEG
90490,NEG
51020,POS
38159,NEG
39296,POS
38878,NEG
46881,NEG
41767,NEU
37483,NEU
99579,POS
16833,NEG
16581,NEG
35133,NEG
10969,NEU
91930,POS
94619,NEG
86841,NEU
65372,NEG
39188,POS
18970,NEU
25729,NEG
33165,POS
34683,POS
81553,NEG
76643,NEG
30789,POS
36631,POS
62830,NEG
85971,POS
67365,NEG
47449,NEG
65041,NEG
29157,NEG
38181,NEG
87646,POS
81472,NEG
81445,NEG
15603,NEU
34513,POS
14424,NEG
57989,POS
13415,NEG
46898,NEG
23522,NEG
23994,NEG
73791,NEU
20506,NEG
18840,NEG
49479,NEG
24867,NEU
80858,NEG
75985,NEG
54122,NEU
38774,POS
25149,POS
54744,NEG
44019,POS
99581,NEG
32277,POS
23969,NEG
88540,NEU
36933,NEG
86925,POS
95146,POS
28348,POS
12606,NEG
32748,NEG
15517,NEG
43949,NEU
71237,NEG
21745,NEG
50044,POS
50878,NEG
24631,NEG
58086,NEU
68183,NEU
92936,NEG
57128,NEG
94119,NEG
27002,NEG
17890,NEG
16612,NEG
88050,POS
94541,NEG
59325,NEG
59539,NEG
67281,NEG
84990,NEG
98345,NEG
45406,NEG
34423,POS
59711,NEG
60076,NEG
93124,NEG
99730,NEG
78774,POS
34781,NEG
78060,NEG
82649,NEG
53785,NEG
89823,NEU
92719,NEU
84348,NEU
32747,POS
80699,NEU
68238,POS
85147,NEG
79941,NEU
77962,NEU
72727,NEG
66701,NEU
81608,NEU
69147,NEU
27582,NEU
27646,POS
61250,NEU
52548,NEG
36653,POS
72917,POS
19906,NEG
16721,NEU
92016,POS
70721,NEU
76436,NEG
15235,NEG
26109,NEU
70556,NEG
10201,NEG
61405,NEG
41862,NEU
47266,NEG
48396,POS
29927,POS
31793,NEG
98370,NEG
53867,NEU
14456,POS
81372,NEG
50338,NEU
55896,NEG
92582,NEG
61381,POS
94644,NEG
16467,NEU
19487,NEG
70372,NEG
52147,NEG
59510,NEG
57823,NEG
80511,NEG
29563,POS
85171,POS
11801,NEU
88979,NEG
28100,POS
36697,NEG
71001,POS
24935,NEG
44648,NEU
91719,NEG
23667,NEU
21228,NEU
24613,NEG
49257,NEG
31757,POS
26277,NEG
75502,NEG
69238,POS
97387,NEU
75400,NEU
74119,NEU
92945,NEU
22202,NEG
12477,POS
17948,NEG
68621,NEG
96871,NEG
67045,POS
53421,POS
57433,NEU
30411,NEU
55451,NEG
79939,NEG
17388,NEU
86586,POS
87045,NEG
33856,NEG
94241,NEG
48939,NEG
53458,NEG
17271,NEU
89197,NEG
96697,NEG
47962,NEG
11485,NEG
92731,NEG
35505,NEG
51325,NEU
99194,NEG
45788,NEG
62302,POS
37252,NEG
93975,NEU
52155,NEU
47735,NEG
30961,POS
87589,NEU
87838,NEG
85538,NEG
50398,POS
97195,POS
45319,NEG
15823,NEU
57229,NEG
14541,NEU
23507,NEG
97626,NEG
77343,NEG
81757,NEU
61740,NEG
78194,NEG
92809,POS
44550,NEG
59049,NEG
86887,NEG
81230,NEG
31404,NEG
26153,POS
98980,NEU
18677,NEU
65143,NEG
37066,POS
82543,NEU
12406,NEG
14136,POS
55517,POS
20202,NEG
61883,POS
83064,NEG
29417,POS
40866,NEU
68748,NEG
38412,NEG
41306,NEG
59746,NEG
92259,NEG
99811,NEG
36557,NEU
18560,NEG
64496,NEG
42936,NEG
44603,NEU
19765,NEG
15694,NEG
85048,NEG
54753,NEU
46891,NEG
83904,NEU
30739,NEG
13747,NEU
24918,NEG
11960,NEG
51384,NEG
33044,NEG
54824,NEG
77843,NEG
53104,NEU
97653,POS
37689,NEG
87831,NEU
16882,NEG
43148,NEG
50613,NEG
70473,NEG
84973,POS
24924,NEU
73201,NEG
10258,POS
62338,NEG
93428,NEU
99677,NEG
70695,POS
88054,NEG
61143,NEU
90696,NEG
18102,NEG
58939,POS
48823,NEG
15186,POS
10653,NEG
73833,POS
31714,NEG
22069,NEG
55113,POS
67272,NEG
62723,NEG
30029,NEG
28857,NEG
24078,NEG
82457,NEG
64837,NEG
65338,NEG
63141,NEG
52142,NEU
11264,NEU
55571,NEU
27858,NEG
91012,NEG
63324,NEU
98989,POS
30524,NEG
67694,NEG
77415,NEG
12616,POS
14978,NEG
15954,NEG
77651,NEG
96441,POS
45329,NEG
93942,NEG
41358,POS
46592,NEU
70858,NEU
66714,NEG
54373,NEG
91642,NEG
62041,NEG
10540,NEG
44864,POS
14483,NEU
15790,NEU
65333,NEG
45871,NEG
16791,NEU
49876,POS
49515,NEG
31933,NEG
88918,NEG
56920,NEU
73295,NEU
48035,NEG
81817,NEU
78820,POS
57292,NEU
42406,NEU
48544,POS
78895,NEG
99771,NEG
48877,NEG
34360,POS
35990,NEG
91313,POS
23065,POS
85134,NEU
61102,NEG
63451,POS
92958,NEG
38387,NEU
94162,NEU
73006,NEU
57356,NEG
82522,NEG
18068,NEU
29024,NEG
43641,NEU
55416,NEU
49032,NEU
97105,NEG
55827,NEU
78941,NEG
49639,NEG
87555,NEG
99516,POS
74987,NEG
39256,NEG
70216,NEG
87173,NEU
69307,NEU
24167,NEU
26485,NEU
73865,POS
73735,POS
25654,NEU
80255,NEG
21156,NEG
42557,NEG
98579,NEG
97612,NEG
83242,NEU
57099,POS
57632,NEU
82582,NEG
56498,NEG
19138,NEG
79688,NEG
26346,NEG
40756,NEG
63761,NEG
21017,NEG
12785,POS
62787,NEG
25847,NEG
12389,POS
69271,NEG
39748,NEG
10507,NEG
13278,NEG
22126,NEG
39364,NEG
35560,NEG
53293,POS
81242,NEG
16462,NEG
14770,POS
10670,NEG
78885,NEG
82004,NEG
97197,NEU
97695,NEG
41003,NEU
24337,NEU
26274,NEG
16868,NEG
72409,NEG
34257,NEG
17643,NEG
51995,NEG
72732,NEU
58424,NEG
58104,NEG
79560,NEG
74733,NEG
52881,NEU
82871,NEG
52028,NEG
24276,NEG
46596,POS
10834,NEG
25397,POS
40352,POS
70272,NEG
32082,NEG
82272,NEG
62740,NEU
33714,NEG
52389,NEG
25981,NEG
51390,NEG
29481,NEG
61547,POS
39784,NEG
94856,NEG
96951,NEG
71179,NEG
26320,NEU
42090,NEU
73324,POS
73705,NEG
97114,NEU
49280,NEG
68826,NEG
98282,NEG
22866,NEU
72606,NEG
95255,NEU
87988,NEG
55697,POS
34694,NEG
40367,NEG
62766,NEG
47639,NEG
60518,NEG
58929,POS
52765,POS
92849,NEG
91134,NEG
87623,NEU
79047,NEG
93132,POS
97374,NEG
20856,NEG
89799,NEG
84256,NEG
99481,NEU
15236,NEG
22104,NEG
21782,NEU
55292,NEU
78912,NEG
85780,NEU
88599,NEG
47824,NEG
31336,POS
20090,NEG
29916,NEG
61744,NEG
26279,NEG
91633,NEG
78819,NEG
41898,NEG
54270,NEU
50164,NEG
79524,NEG
27535,NEG
55255,NEU
47995,NEG
94301,NEG
50091,NEG
69403,NEG
37234,NEG
94645,NEG
95305,NEG
93220,POS
52000,NEG
24621,NEG
43057,NEG
19013,NEG
24962,NEG
40182,POS
82629,NEU
32096,POS
84265,NEG
45879,NEG
35552,NEG
46615,POS
32664,POS
81184,NEG
67217,NEU
99336,NEG
80724,POS
15197,NEG
60156,NEU
50019,POS
27540,NEG
98441,NEG
65135,NEG
17898,NEG
28884,NEG
21536,NEG
10293,NEG
66442,NEG
52495,NEU
78859,NEG
98785,NEU
75054,NEG
71484,NEU
52018,NEU
53120,NEG
71119,NEG
44023,NEU
25988,NEG
94210,NEG
57591,NEG
74455,NEG
94805,NEG
50332,NEG
11402,NEG
73206,POS
84321,NEG
55394,NEG
61921,NEG
27076,NEG
85088,NEG
32456,NEG
98065,NEG
48550,POS
59332,NEG
65304,NEG
60684,NEU
46297,NEG
44037,POS
66000,NEG
76245,NEG
89566,NEG
84787,NEU
77602,NEG
54961,NEG
79998,NEG
79079,POS
36553,NEG
24341,POS
35521,NEG
37457,POS
73068,NEG
97209,NEG
